Date,Close,High,Low,Open,Volume,date,finbert_mean,article_count
2024-07-01,215.49649047851562,216.2520897818886,210.69442153458442,210.86343656939636,60402900,,0.0,
2024-07-02,218.99610900878906,219.10547344874152,213.85601067210808,214.8999260337406,58046200,,0.0,
2024-07-03,220.26870727539062,220.26870727539062,217.76327700783267,218.7276683957665,37369800,,0.0,
2024-07-05,225.03102111816406,225.14038557018992,220.36814201808318,220.36814201808318,60412400,,0.0,
2024-07-08,226.50247192382812,226.53229721329785,221.95889400104966,225.7766827586142,59085900,,0.0,
2024-07-09,227.35748291015625,228.07332019577044,225.0608446065374,226.6118203351868,48076100,,0.0,
2024-07-10,231.63259887695312,231.73202661360727,227.92417489200207,227.97388876032915,62627700,,0.0,
2024-07-11,226.25392150878906,231.04603853364384,224.46432825800636,230.0518217466028,64710600,,0.0,
2024-07-12,229.2067108154297,231.2945719488415,227.3574671508641,227.59608461971035,53046500,,0.0,
2024-07-15,233.04440307617188,235.8580383346859,231.7419815445035,235.11237576276483,62631300,,0.0,
2024-07-16,233.4619903564453,234.9036016458956,230.9863851256273,233.64094209406048,43234300,,0.0,
2024-07-17,227.5563507080078,230.12143192510834,225.32929956891294,228.12304640695322,57345900,,0.0,
2024-07-18,222.88348388671875,229.1072898966746,220.98454159292123,228.94821158990908,66034600,,0.0,
2024-07-19,223.0127410888672,225.48834608374398,221.9886991219942,223.5198013048721,49151500,,0.0,
2024-07-22,222.66477966308594,226.46267958300487,221.7998008147913,225.69712847330965,48201800,,0.0,
2024-07-23,223.7086944580078,225.6275405798551,221.392167723929,223.0723963761116,39960300,,0.0,
2024-07-24,217.27610778808594,223.499913948863,215.87427379105335,222.70453756630337,61777600,,0.0,
2024-07-25,216.2322235107422,219.5727926616157,213.37881089672752,217.66388300064952,51391200,,0.0,
2024-07-26,216.69949340820312,218.22064384945838,214.76075857434793,217.4352041073067,41601300,,0.0,
2024-07-29,216.97787475585938,218.0317421116191,214.50226952108,215.70527849563507,36311800,,0.0,
2024-07-30,217.53463745117188,219.05578793157815,214.87012855591783,217.92238139381377,41643800,,0.0,
2024-07-31,220.795654296875,222.52559687691686,219.35404306544518,220.1593561933901,50036300,,0.0,
2024-08-01,217.09716796875,223.1817695634113,215.76492117798517,223.07240511518174,62501000,,0.0,
2024-08-02,218.58848571777344,224.29529507499745,216.45092586682142,217.88258518105536,105568600,,0.0,
2024-08-05,208.05975341796875,212.26528622278008,194.86649227009318,197.9386185328084,119548600,,0.0,
2024-08-06,206.03152465820312,208.7755724881847,199.90716125146164,204.11269368890086,69660500,,0.0,
2024-08-07,208.60655212402344,212.40445197195865,205.19638100586542,205.703426053809,63516400,,0.0,
2024-08-08,212.07638549804688,212.9612378528938,207.62229843313003,211.87754516998305,47161100,,0.0,
2024-08-09,214.9894256591797,215.5262960046125,210.7441160828828,210.8733691090516,42201600,,0.0,
2024-08-12,216.52230834960938,218.49313190431408,214.60125621149956,215.06908018890428,38028100,,0.0,
2024-08-13,220.24497985839844,220.86210287308924,217.99543949730662,217.99543949730662,44155300,,0.0,
2024-08-14,220.69290161132812,221.99683071433236,218.6822548419691,219.548234966672,41960600,,0.0,
2024-08-15,223.6790008544922,224.3060872818483,221.72807374055304,223.55956160665437,46414000,,0.0,
2024-08-16,225.00282287597656,225.77920829872497,222.61393180066406,222.8826852741085,44340200,,0.0,
2024-08-19,224.8435821533203,224.94312498661264,222.0067784736323,224.6743714872065,40687800,,0.0,
2024-08-20,225.460693359375,226.11763957317405,224.4056062095116,224.72413110884563,30299000,,0.0,
2024-08-21,225.3511962890625,226.92387876417723,224.00745927475182,225.47065071716546,34765500,,0.0,
2024-08-22,223.4898681640625,227.28221598709214,222.86278176595104,226.7347608131935,43695300,,0.0,
2024-08-23,225.78916931152344,227.16278137803022,223.29080225181497,224.61464290366072,38677300,,0.0,
2024-08-26,226.12757873535156,226.2271215594374,222.8528263811224,225.70952621277567,30602200,,0.0,
2024-08-27,226.97366333007812,227.7898720189865,223.84820980142854,224.9530683997657,35934600,,0.0,
2024-08-28,225.4407958984375,228.79517959293358,224.63453544627717,226.86416416696267,38052200,,0.0,
2024-08-29,228.72549438476562,231.84099956412553,227.819721489883,229.03407107214645,51906300,,0.0,
2024-08-30,227.9391632080078,229.33267166766268,226.42620031745173,229.123652992766,52990800,,0.0,
2024-09-03,221.738037109375,227.9391727978887,220.1454429272487,227.4912604304481,50190600,,0.0,
2024-09-04,219.82691955566406,220.75260404502964,216.47252073588626,220.6331648046219,43840200,,0.0,
2024-09-05,221.34983825683594,224.43546851590304,220.49382156548631,220.60331260233696,36615400,,0.0,
2024-09-06,219.79705810546875,224.1965806221913,218.75191919539128,222.91254804497814,48423000,,0.0,
2024-09-09,219.88665771484375,220.24499065438135,215.70611687897429,219.79707827698536,67180000,,0.0,
